designation,title,connector_pin,signal_name,io_type,rim,slot,pin,io_id,rim_name,part_number,ecat_id,ecat_offset,ecat_length
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,1,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,3,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,5,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,7,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,9,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,11,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,13,WATER_LEAK+_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,14,WATER_LEAK+_2,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,15,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
J1,09665116502,16,NetJ1_1,N/A,1,-1,-1,,,12-201473-01,,,
